0 |[(21, 1), (22, 1), (23, 1), (25, 1), (26, 1), (28, 1), (31, 1), (33, 1), (35, 1), (36, 1)]|
conclus |[(33, 1)]|
condit |[(35, 1)]|
conduct |[(21, 1), (34, 1)]|
conf |[(30, 1)]|
confer |[(19, 1), (23, 1), (24, 1), (27, 1), (29, 1), (30, 1), (32, 1), (34, 1)]|
confid |[(35, 1)]|
congest |[(20, 1)]|
congression |[(33, 1)]|
connectionist |[(33, 1)]|
consid |[(20, 1), (33, 1), (34, 1)]|
consist |[(19, 1), (20, 1), (24, 1), (29, 1), (33, 1)]|
constrain |[(33, 1)]|
construct |[(21, 1), (24, 1), (33, 1), (35, 1)]|
contact |[(19, 1), (20, 1), (21, 1), (23, 1), (24, 1), (27, 1), (29, 1), (30, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
contain |[(19, 1), (20, 1), (21, 1), (23, 1), (24, 1), (29, 1), (30, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
content |[(29, 1)]|
context |[(19, 1), (23, 1), (32, 1), (33, 1)]|
continu |[(24, 1)]|
contract |[(21, 1)]|
contrain |[(33, 1)]|
contrast |[(32, 1)]|
control |[(20, 1), (24, 1)]|
convert |[(32, 1), (33, 1)]|
coordin |[(24, 1)]|
copernicu |[(33, 1)]|
copi |[(33, 1)]|
copyright |[(33, 1)]|
corel |[(32, 1)]|
corpora |[(34, 1)]|
correct |[(33, 1)]|
correspond |[(20, 1), (32, 1), (33, 1), (34, 1)]|
cost |[(31, 1)]|
could |[(33, 1)]|
council |[(34, 1)]|
covertyp |[(33, 1)]|
cowen |[(33, 1)]|
cpgei |[(33, 1)]|
crash |[(21, 1)]|
creat |[(21, 1), (34, 1)]|
creation |[(19, 1)]|
creation_tim |[(19, 1)]|
creativ |[(23, 1)]|
creator |[(29, 1)]|
credit |[(33, 1)]|
cristianini |[(33, 1)]|
criteria |[(23, 1)]|
critic |[(33, 1)]|
cross |[(33, 1)]|
crossref |[(30, 1)]|
crowdsourc |[(36, 1)]|
cs |[(19, 1)]|
csv |[(19, 1)]|
cti |[(23, 1)]|
ctor |[(29, 1)]|
cu |[(20, 1)]|
cuisin |[(23, 1)]|
cukoo |[(30, 1)]|
cukurova |[(20, 1)]|
cultur |[(29, 1)]|
curitiba |[(33, 1)]|
cycl |[(20, 1)]|
cyril |[(34, 1)]|
câ |[(20, 1)]|
d |[(21, 1), (23, 1), (29, 1), (33, 1), (34, 1)]|
dalla |[(33, 1)]|
dash |[(33, 1)]|
